word,count,happiness,kind
services,63,5.86,review
offered,127,6.14,review
person,191,5.54,review
goes,68,5.26,review
sorry,75,3.66,review
call,221,5.74,review
yes,123,6.74,review
heard,89,5.36,review
sales,47,5.8,review
agent,10,5.08,review
department,26,5.26,review
story,41,6.48,review
short,108,4.46,review
bs,7,4.48,review
might,106,5.08,review
randomly,9,4.5,review
keep,150,5.86,review
ads,2,4.56,review
pictures,43,7.06,review
sites,8,6.0,review
moment,26,5.68,review
entered,16,5.82,review
daughter,81,7.04,review
immediately,84,5.66,review
warm,121,6.72,review
welcome,37,7.16,review
how,582,4.68,review
works,44,5.5,review
available,101,6.58,review
cake,163,7.58,review
finding,42,5.8,review
free,250,7.96,review
wife,175,6.62,review
cozy,44,6.94,review
positive,53,7.8,review
gone,74,3.42,review
look,264,5.54,review
trying,193,5.78,review
jersey,7,5.2,review
devil,8,2.24,review
started,183,6.0,review
craft,34,6.38,review
while,495,5.12,review
straight,47,6.06,review
cuban,23,5.54,review
sandwich,324,7.06,review
am,505,5.38,review
replacement,13,5.1,review
choice,108,6.24,review
dirty,81,3.2,review
chick,16,5.94,review
staying,32,5.76,review
nearby,42,5.68,review
hotel,189,6.16,review
due,122,4.22,review
severe,7,3.16,review
chance,70,6.44,review
rice,211,6.44,review
fruit,58,7.12,review
healthy,52,8.02,review
interesting,64,7.52,review
foods,59,7.26,review
normally,58,5.5,review
manager,281,5.02,review
jessica,6,5.76,review
special,240,7.2,review
ordered,817,4.96,review
waiting,184,3.68,review
stores,40,6.0,review
these,244,5.1,review
downtown,76,5.78,review
grocery,38,6.16,review
drop,37,4.3,review
pick,169,5.6,review
travelers,2,6.26,review
alike,5,5.9,review
especially,173,6.16,review
grateful,14,7.36,review
helped,81,7.28,review
crew,40,5.6,review
knows,34,6.12,review
cool,198,7.2,review
under,125,4.6,review
most,368,6.22,review
intense,4,5.66,review
anyone,153,5.02,review
selection,233,5.96,review
mini,36,5.42,review
talking,67,6.46,review
hopefully,22,6.84,review
satisfy,19,7.34,review
tooth,20,4.84,review
isn,135,4.86,review
made,672,5.96,review
mistake,38,2.78,review
finish,59,6.72,review
what,1098,4.8,review
overall,253,5.44,review
walk,187,6.02,review
sugar,56,6.74,review
destiny,1,6.12,review
bar,517,5.82,review
slow,120,3.78,review
better,503,7.0,review
picking,23,5.48,review
easy,148,6.76,review
eating,171,7.3,review
opened,76,6.0,review
oldest,6,4.68,review
son,71,7.12,review
worked,86,5.44,review
school,53,6.26,review
experiences,47,6.32,review
recent,36,5.56,review
yesterday,35,4.98,review
tasted,181,6.38,review
dry,98,4.64,review
note,73,5.42,review
wasn,389,4.63,review
end,180,4.36,review
rush,47,4.12,review
barely,65,4.24,review
finished,58,6.78,review
leg,12,5.62,review
needs,121,4.98,review
break,46,5.04,review
him,260,5.54,review
getting,225,5.68,review
worse,58,2.7,review
last,306,3.74,review
night,447,6.22,review
swear,8,4.24,review
looks,120,5.98,review
his,395,5.56,review
clothes,26,6.46,review
week,183,5.08,review
disgusting,39,2.58,review
attitude,60,5.8,review
sucks,19,3.14,review
during,220,5.2,review
encounter,8,5.24,review
eye,42,6.14,review
contact,29,6.08,review
seemed,186,5.14,review
bothered,23,3.78,review
handed,25,5.76,review
thank,142,7.4,review
hadn,48,4.52,review
common,17,4.92,review
courtesy,8,6.74,review
consider,27,5.56,review
fact,118,5.9,review
garage,20,5.24,review
greatest,12,7.26,review
charm,12,7.06,review
cause,31,5.22,review
serves,19,5.74,review
window,60,6.1,review
server,341,5.48,review
lot,369,5.78,review
longer,72,5.18,review
expected,79,5.74,review
machines,14,5.68,review
gas,29,4.76,review
station,34,5.16,review
probably,235,5.64,review
holiday,25,7.68,review
florida,19,6.7,review
charge,112,4.9,review
pool,50,6.78,review
beach,68,7.94,review
walking,106,6.18,review
distance,24,4.5,review
resort,19,7.1,review
stay,152,5.56,review
house,237,6.34,review
booked,42,5.08,review
decent,161,6.22,review
value,52,6.36,review
gravy,55,6.36,review
showed,73,5.74,review
sunday,123,7.28,review
morning,121,6.56,review
execution,9,3.1,review
poor,102,2.32,review
serving,60,5.64,review
winter,14,5.9,review
second,164,5.38,review
equipment,15,5.86,review
properly,30,6.22,review
skill,5,6.57,review
instead,158,4.92,review
tearing,2,3.73,review
paper,47,5.8,review
taste,274,6.88,review
confirmed,10,6.72,review
class,55,5.52,review
interior,49,5.8,review
props,14,5.85,review
whoever,13,5.06,review
being,385,5.84,review
maintained,11,6.36,review
blue,44,5.66,review
tape,1,5.2,review
holding,12,5.64,review
together,104,6.8,review
anyway,54,5.12,review
model,10,5.8,review
maintenance,31,4.84,review
hero,5,7.8,review
estimate,17,5.4,review
cost,76,4.1,review
photos,32,6.94,review
iphone,12,6.54,review
estimated,7,5.58,review
wrong,166,3.14,review
however,241,4.7,review
laundry,10,4.1,review
difficult,41,3.18,review
patience,9,6.36,review
solution,8,6.84,review
hire,22,6.5,review
already,131,5.28,review
building,86,5.94,review
diane,3,5.16,review
c,48,4.7,review
single,68,5.12,review
falls,3,3.6,review
convenient,36,6.74,review
hits,11,4.98,review
sushi,200,5.4,review
pretty,448,7.32,review
grill,44,6.24,review
chef,83,6.22,review
put,231,5.04,review
show,112,6.24,review
engage,7,6.2,review
us,1076,6.26,review
option,88,5.94,review
wishing,6,6.74,review
tons,42,5.56,review
tables,220,5.42,review
done,241,6.54,review
friend,221,7.66,review
breakfast,282,6.86,review
mine,71,6.3,review
though,315,4.78,review
snack,12,7.1,review
picture,42,6.64,review
passion,10,7.3,review
desire,9,6.68,review
tea,132,6.66,review
girl,93,7.0,review
coming,259,5.84,review
anyways,12,5.12,review
ha,5,6.0,review
sadly,24,2.28,review
green,108,6.78,review
ton,34,5.24,review
served,197,5.66,review
event,68,6.12,review
spots,48,4.68,review
meeting,23,5.46,review
something,388,5.0,review
check,319,6.1,review
party,172,7.58,review
where,390,5.02,review
seated,149,5.8,review
busy,221,4.58,review
morgan,2,5.24,review
above,79,5.96,review
beyond,75,5.5,review
her,691,5.84,review
helping,37,7.18,review
decide,29,5.84,review
section,43,5.28,review
visiting,81,6.6,review
rare,56,6.02,review
occasion,26,6.26,review
country,33,6.28,review
jam,21,6.02,review
slightly,66,4.8,review
stuff,102,5.58,review
joe,21,5.22,review
yum,64,7.1,review
ps,7,5.04,review
darn,18,4.2,review
turkey,43,6.16,review
forgot,57,3.44,review
attention,73,5.8,review
water,200,6.7,review
charged,75,5.04,review
soda,35,6.2,review
return,176,5.2,review
board,48,4.76,review
tour,171,6.66,review
bacon,135,5.96,review
bloody,31,2.94,review
mary,30,5.88,review
priced,101,5.0,review
across,90,4.94,review
sands,1,6.2,review
nearly,41,5.26,review
months,89,5.16,review
numerous,16,6.08,review
phone,191,6.44,review
calls,30,5.42,review
e,65,4.72,review
finally,215,5.58,review
missing,70,2.98,review
items,262,5.38,review
promised,27,6.68,review
sale,30,6.58,review
yet,147,4.7,review
parts,39,5.24,review
inspection,30,4.61,review
things,299,5.76,review
below,30,4.42,review
covered,65,5.92,review
drove,37,5.26,review
onto,27,5.14,review
spare,17,5.74,review
key,51,5.82,review
require,7,4.44,review
keys,11,5.98,review
giant,23,5.34,review
bubble,12,6.2,review
paint,14,6.3,review
between,102,5.1,review
passenger,3,5.72,review
seat,73,5.86,review
broken,35,3.02,review
fold,2,4.94,review
allow,24,6.0,review
trunk,2,5.44,review
pull,26,4.74,review
problem,141,2.98,review
since,395,5.24,review
tiny,45,4.9,review
reach,11,5.74,review
without,237,3.54,review
jumping,4,6.14,review
shelf,10,5.31,review
itself,83,5.2,review
completely,120,6.34,review
entire,144,5.88,review
rock,31,6.14,review
chip,17,5.42,review
direct,4,5.68,review
vision,6,6.62,review
driver,35,5.7,review
pass,52,5.9,review
ourselves,31,5.98,review
driven,5,5.96,review
extremely,179,5.7,review
beg,4,3.08,review
post,42,5.48,review
mail,14,6.36,review
president,1,5.86,review
bring,145,5.3,review
type,101,5.56,review
brought,179,5.9,review
issues,78,3.9,review
care,233,6.64,review
hour,305,5.32,review
suggest,51,5.52,review
wanting,28,4.66,review
purchase,55,6.34,review
vehicle,56,6.08,review
closely,8,5.64,review
may,140,5.48,review
lucky,27,7.68,review
still,469,5.14,review
excited,67,7.62,review
delivered,50,6.42,review
table,461,5.32,review
rainy,10,5.64,review
egg,119,5.98,review
soup,199,6.52,review
roll,133,5.66,review
angry,17,2.32,review
dragon,8,5.74,review
michael,9,5.7,review
conversation,55,6.24,review
hello,15,7.0,review
leaving,61,3.58,review
negative,47,2.42,review
posts,4,5.32,review
wondering,10,6.02,review
why,262,4.98,review
businesses,21,5.64,review
nervous,19,2.94,review
hubby,35,6.16,review
orleans,113,5.34,review
lamb,57,6.38,review
re,511,4.88,review
used,214,4.6,review
cleveland,1,4.96,review
pittsburgh,1,5.14,review
multiple,68,5.7,review
rich,36,7.98,review
update,44,5.72,review
meaning,16,6.0,review
review,206,5.32,review
magic,12,6.8,review
salmon,85,5.94,review
guys,129,6.22,review
admit,20,4.74,review
bit,316,4.54,review
four,117,5.2,review
fine,125,6.74,review
fully,26,6.18,review
meh,25,4.72,review
category,7,5.42,review
book,50,7.24,review
nightmare,16,2.32,review
speaker,5,5.68,review
much,584,5.74,review
cars,46,6.26,review
testing,3,4.9,review
speakers,5,5.64,review
bass,13,6.04,review
plates,77,5.78,review
moving,58,5.36,review
weird,45,4.2,review
booth,37,5.42,review
smell,38,4.82,review
complained,25,2.9,review
seriously,81,4.7,review
wants,26,5.38,review
chemical,3,4.18,review
salt,44,5.68,review
mix,53,5.8,review
scratch,10,4.22,review
sleep,25,7.16,review
cook,65,6.64,review
mean,76,3.68,review
freaking,16,4.1,review
executed,11,3.94,review
tasty,253,7.58,review
tough,47,3.96,review
another,375,5.2,review
rolls,125,5.56,review
random,18,5.02,review
messy,15,3.66,review
including,94,5.96,review
thick,50,4.96,review
reason,124,5.54,review
piece,65,5.26,review
glue,5,5.08,review
ew,4,4.44,review
whatever,49,4.58,review
sake,8,5.66,review
bombs,3,2.86,review
fill,35,5.7,review
belly,39,4.78,review
enjoying,32,7.84,review
rocking,3,6.46,review
throughout,62,5.52,review
wtf,13,4.22,review
factor,10,5.1,review
savior,2,6.76,review
completed,20,6.82,review
screwed,7,3.24,review
absolute,33,5.4,review
sweetheart,3,7.88,review
change,100,5.56,review
plans,14,6.2,review
cheers,13,7.58,review
juicy,37,7.27,review
stuffed,45,5.18,review
craving,45,4.46,review
burger,231,6.18,review
constantly,27,5.3,review
ahead,70,6.08,review
orders,99,4.24,review
enjoy,186,7.66,review
glad,116,7.48,review
pleased,61,7.4,review
half,235,4.6,review
skin,33,5.5,review
real,131,6.78,review
season,31,5.96,review
stone,18,5.04,review
sides,85,5.04,review
risk,13,3.62,review
crap,21,3.34,review
answer,54,6.24,review
except,68,4.7,review
mac,92,5.74,review
bbq,131,6.32,review
garlic,86,6.12,review
shopping,77,7.1,review
stopped,131,3.86,review
lost,55,2.76,review
winding,2,5.56,review
road,44,5.86,review
main,102,5.4,review
thought,213,6.38,review
turn,62,5.2,review
nope,11,4.12,review
driving,40,6.18,review
ll,422,4.82,review
quickly,134,5.82,review
duty,12,4.7,review
eh,14,4.54,review
chile,10,5.74,review
kinda,43,4.9,review
mmmm,5,6.26,review
sooo,24,4.78,review
chocolate,132,7.86,review
matter,55,5.4,review
chili,73,6.1,review
lol,58,6.84,review
self,36,6.24,review
bill,90,3.64,review
dessert,178,7.28,review
lovely,66,7.32,review
pieces,64,4.76,review
living,42,6.68,review
